,DK,NO,DE,BE,NL,GB
2015-10-30 11:00:00,6068.220351454103,28016.9637138052,237821.1703956288,44532.40298725809,52501.21118607913,132421.864191395
2015-10-30 12:00:00,6001.6859387818895,27921.798676991722,224949.97941027815,40363.06157290187,40653.53228965041,130211.9203092539
2015-10-30 13:00:00,5194.380162185793,27784.91540712134,198807.64062952294,29407.575153347752,32870.49249496041,105527.31020594749
2015-10-30 14:00:00,5394.478367037311,28173.558288639306,171950.18631252777,20588.209005995945,26476.351306491793,95590.30140527466
2015-10-30 15:00:00,5868.056912181164,28453.04912606844,184934.02912918336,21136.10093010887,30971.23098432272,94459.92495390195
2015-10-30 16:00:00,7322.228348420358,28646.028411830048,232698.47474254583,31757.436671677522,40685.05532081523,78670.34390233007
2015-10-30 17:00:00,8596.727717042802,28317.21729280789,237637.50415388762,34362.31380488709,39456.44287515949,85496.77412427275
2015-10-30 18:00:00,14203.965239703924,27734.33198033233,235091.5982215161,33809.30554996162,38247.62748731436,86695.43293808837
2015-10-30 19:00:00,15335.20974740624,27081.24023152511,222781.01104279884,33184.16037654449,38292.855718431776,90130.90801548002
2015-10-30 20:00:00,14892.986019306718,26629.23997231827,213224.0059482078,33449.74267273796,38584.49723431899,91903.40838187104
2015-10-30 21:00:00,13448.620059225843,26082.59355591478,214713.79177501748,35230.186035314226,37277.253349549894,90695.13041199392
2015-10-30 22:00:00,14831.4084672099,25155.93770362739,215434.9883783839,36720.66589649232,37747.790175376926,91138.32933763452
2015-10-30 23:00:00,14917.217846718697,24124.320851936565,218444.36813580932,37041.37505381058,38759.68380845995,93175.1146151015
2015-10-31 00:00:00,12005.129661145329,23294.709808747328,226220.79720589082,37481.17645941643,42750.36880026782,94262.86698580951
2015-10-31 01:00:00,11701.475480640504,22634.635463387287,225057.75892007176,37633.62611844347,43610.12500425002,94319.38938140772
2015-10-31 02:00:00,12159.413389843487,22250.203179849974,225318.95109272315,37675.826284545474,41470.1554034712,95129.43018124436
2015-10-31 03:00:00,13352.958663230018,22105.99346014152,229241.32098863926,38068.494559124316,40754.96620165635,93191.86180379507
2015-10-31 04:00:00,14449.208229589916,22087.38688022323,232676.39555482205,39056.45030487897,41369.59987265014,90621.25727284486
2015-10-31 05:00:00,15573.868956597982,22276.93437019177,237768.9589831137,40901.75803481505,43260.02440022869,88346.34129350768
2015-10-31 06:00:00,18305.85252798343,22906.83713387731,235832.7267412679,42324.60324462131,46435.62640933661,88412.45467003727
2015-10-31 07:00:00,27602.322215935455,23294.597994604872,224458.16300963907,32115.156383310015,49621.592001458,101508.79169177475
2015-10-31 08:00:00,24802.4181974612,23694.255791611948,252701.98210621235,40033.20035682852,60987.53840206385,119239.72172618407
2015-10-31 09:00:00,23517.82004565998,23878.38179313952,281991.3789314905,45567.8919822672,70588.95671905263,118612.1321676597
2015-10-31 10:00:00,22886.796759561043,21348.65587651702,336601.21749834646,42370.00399452825,72140.03496168845,116310.34527239492
2015-10-31 11:00:00,24822.34482620155,20597.317312179668,318086.70837853994,36259.468883765076,65879.12784994178,111228.74040013987
2015-10-31 12:00:00,23968.253195703564,22807.312581670656,300948.0849619701,35506.04738180309,59419.33157582199,111300.07913426502
2015-10-31 13:00:00,28699.89885372741,24569.955013893148,231918.54419080383,35949.35026643382,51206.584883062336,107908.96656780153
2015-10-31 14:00:00,26763.701376042067,23559.87276449619,195520.30872609027,27845.440540082272,36730.88044673368,104187.02165427154
2015-10-31 15:00:00,19588.67490942595,23988.240578457888,153972.185174544,15193.525827137066,24354.09266206855,82941.38264969847
2015-10-31 16:00:00,17297.35860775862,24159.74984790038,209150.57238809718,31782.989046217976,31857.853843179946,81660.72301923735
2015-10-31 17:00:00,17411.637076928568,23621.373839646018,227118.3973442804,36883.78176050713,34677.12716602877,107732.0468026009
2015-10-31 18:00:00,12193.812154742813,23439.730469824583,240866.1202680691,37629.982428410454,35753.43347604915,110653.49791703233
2015-10-31 19:00:00,12225.012391384405,22811.82840937598,232883.54111948778,36816.30324123734,35193.579503212946,106988.6822985879
2015-10-31 20:00:00,12011.159660146026,22198.53877572616,235546.96284389237,36957.19874790072,35727.69290330097,104595.3494478757
2015-10-31 21:00:00,11596.437458108678,21673.856562227917,242754.41695162148,38248.69539526588,36926.016864857316,103003.00890721116
2015-10-31 22:00:00,11666.725438734287,20553.70280621873,250563.4512470588,39382.68174852534,37596.59380943024,101328.03670469706
2015-10-31 23:00:00,12218.596820137158,19505.389038774512,260010.71449989663,39602.31026415019,39231.206174392144,99623.67286166252
2015-11-01 00:00:00,11485.6914062086,18484.02887185043,275878.57602873177,40677.1226095049,42282.74902038858,99530.53885712616
2015-11-01 01:00:00,10013.248938671484,18615.631091526557,285424.10393091256,42325.57221363118,45679.150561017086,100762.6214631813
2015-11-01 02:00:00,10018.364731882446,18883.800032782536,300521.2409174168,44658.31975109517,48023.90667293474,97371.244299533
2015-11-01 03:00:00,10985.388568214288,19540.292620598833,311378.75268298003,47134.99273186579,48421.056712379934,93769.29387595222
2015-11-01 04:00:00,11364.308761749398,19835.82193204841,317601.91800143954,48229.68081410836,45354.735832650986,91435.56971331591
2015-11-01 05:00:00,11480.910912656625,20176.39889947331,322312.04355221527,49180.86081135443,44887.22627185325,89820.48800744343
2015-11-01 06:00:00,11151.936634474005,20806.56409383628,327782.22136530594,48532.84190263148,46377.89242640219,92197.19223573775
2015-11-01 07:00:00,12224.288474696736,19979.170045872943,249805.5025852497,33647.40012753535,40663.367680406816,95534.61598491647
2015-11-01 08:00:00,19098.730996711256,19875.167947011407,289239.81964150997,39855.724031296646,44685.89758727149,109886.63023371162
2015-11-01 09:00:00,23787.108534057923,20203.226113572422,293143.30747053307,44870.6302140863,50323.559307989184,117023.53437894309
2015-11-01 10:00:00,24095.48089886561,20396.66579693892,317519.80934252776,42478.188558527,52150.17408567478,122381.43650228996
2015-11-01 11:00:00,24548.25755552685,20455.33879532245,304817.85214468656,36527.477545948204,50914.00486492281,126961.51105727794
2015-11-01 12:00:00,24652.160371063397,20058.23231746754,263061.77608670114,34639.87058863837,47332.715731402895,125357.59159071815
2015-11-01 13:00:00,22004.248606494453,19596.180122050228,239558.43165521647,34958.276419529364,42762.85786144232,117788.8517345175
2015-11-01 14:00:00,18452.844097579622,20447.27554224255,182098.08059022014,27552.691767491666,32118.417214427307,105894.14233013146
2015-11-01 15:00:00,11377.892890889701,22869.64068970547,164936.8214691565,18891.457132824624,22357.62242893492,87381.5996101653
2015-11-01 16:00:00,12227.708719538789,23535.28409211516,272549.91554151574,37731.73465835577,42198.25171577278,91603.55975404789
2015-11-01 17:00:00,11792.534039539876,23530.63213956519,286770.2154658699,42276.63506468771,44622.01709169054,113832.40913668583
